Country,Year,Population
France,1994,1314480940
USA,1993,1022623815
UK,2019,419385749
France,2014,670940752
USA,2017,1458467465
Japan,2007,913075495
Australia,2017,254406817
Canada,2021,1472293417
France,2022,8322012
China,2012,804368716
Canada,2024,489871973
USA,2000,104223975
Canada,2014,488314265
UK,1997,205773825
Germany,2017,1013027207
Germany,2002,1247943382
USA,1991,68076169
India,2012,209492363
Canada,2021,776937194
Japan,2000,281701424
France,1999,283003853
China,2001,1301011865
China,2013,1013993088
USA,1997,788056446
Japan,1995,1423676003
India,2009,1113425349
USA,2023,1104488552
Australia,2006,91038078
China,2012,294999965
Australia,2001,1506086882
China,1990,433599931
France,2000,1398389178
Canada,2016,855913037
Brazil,2013,1435631301
Japan,2003,1068143162
UK,2013,1436002788
Brazil,1998,1228907911
Brazil,1990,1185213683
Brazil,2024,1298510121
France,1999,74284735
Canada,2007,1181087663
USA,2001,1253146432
France,1997,1357113760
Germany,2023,930194482
Canada,2022,1186757559
Australia,1991,650362732
France,1993,538826160
UK,2009,411690012
India,1990,1363119832
Germany,1990,731398287
India,2015,596394013
Germany,1997,270420984
China,2000,533626083
China,2014,1146292253
UK,1993,1039772702
USA,2018,180610022
Japan,2015,476949089
China,2021,467485585
China,2020,596204900
India,2008,279629072
Germany,1991,603406952
India,2000,179677603
France,1994,1015053332
Brazil,2018,430307069
Brazil,1992,715028692
UK,1997,551131783
China,2022,574624022
USA,2019,1307608869
Germany,1997,174491004
Australia,1996,543044458
China,1990,1406830100
USA,2003,1172763116
India,2024,7399383
Germany,2019,1301250693
France,1999,51740655
France,2018,975916650
Canada,2007,1166189924
India,1992,729935635
UK,1995,86761355
USA,2001,291901151
Japan,2016,1065400567
UK,2020,918560830
Germany,2002,1265120987
Japan,2000,1167367429
Germany,1991,16612630
Brazil,2024,147120216
Australia,2005,581791610
France,2004,634368141
India,1993,232100302
India,2014,739280600
Brazil,2002,1025323853
Japan,2015,1313132918
UK,1998,590066572
Brazil,1999,162245683
USA,1998,1316499459
USA,1990,1397020769
China,2012,838929365
France,2009,396583539
USA,2010,942049771
India,2002,58213569
France,2003,624645217
Germany,2013,829941625
Australia,2007,83473083
France,2005,605790393
Canada,1993,1009701243
UK,2005,187610262
Japan,2009,1111896024
Australia,2010,773588136
Australia,2018,244667637
Canada,1993,1124886054
Japan,2011,416459495
Japan,1998,262012302
France,2019,575252603
Australia,2007,1207516282
India,2001,998753294
Japan,2015,1237849287
India,2016,376426451
India,1995,1262451321
Japan,2024,468221865
UK,2008,452985857
India,2023,26775637
China,2009,1332259442
China,2018,835764806
Canada,1993,965360498
Germany,1995,82590945
France,1995,1398587799
UK,2022,660470760
France,2001,969483092
UK,1999,301874763
Japan,1996,43057980
Australia,2003,1144056643
Japan,2006,402300012
India,1993,572427303
Brazil,2005,16584259
India,1998,737609903
France,2024,842893645
Canada,2012,1226504813
China,2008,1176755809
Germany,2012,788488193
France,2015,1237767655
India,2006,1058915508
France,2023,1435722256
Canada,2018,324499496
USA,2003,329193968
UK,1996,844793106
China,2019,1379026952
China,2018,250400469
France,2021,1509849522
Canada,2005,303712975
Canada,2014,915472884
Canada,1998,606757293
China,2014,1305215847
France,2005,1063976279
China,2009,602495052
Germany,2004,232264358
India,1999,1342753496
Brazil,2015,1132684913
UK,2017,359160054
Japan,2018,11686459
UK,1993,852829468
France,2013,877563561
India,1991,228759271
Brazil,2021,1443720534
Japan,2024,341577070
Australia,1999,346970638
India,2004,1426602694
Germany,2018,193665358
Germany,2004,1480622628
Canada,1993,135998956
Japan,2012,175728668
Canada,2002,163460017
Canada,2001,102857868
Germany,2011,1169666653
France,2021,537227886
Brazil,2016,1462285254
China,2022,140568556
USA,2001,875255410
Brazil,2023,971477022
China,2004,76403428
India,2006,185339148
France,2019,1176791350
India,2010,1045928710
Brazil,2011,113581487
India,1996,360605476
Germany,1990,861553955
France,2014,254157371
France,2024,682100035
UK,1998,1047265413
India,2014,924194002
UK,2009,1226057403
Brazil,1998,78206944
USA,2013,240219833
Australia,2014,999747947
UK,1998,1082510197
UK,2016,700324340
Canada,2002,67065150
Brazil,2020,396015977
UK,1995,180370881
Brazil,2010,877076369
UK,1996,78227326
Canada,2017,1335008949
France,2011,755327089
Canada,2008,652123924
China,2005,516627213
France,2008,199666198
Brazil,1999,71795909
Germany,2002,18655606
Australia,2015,176971403
Canada,1991,715112066
China,2013,633811547
Brazil,2003,379174702
Australia,2014,1314460366
Australia,1995,325144830
USA,1994,1357475890
China,1993,548878737
France,2010,672808614
France,1997,846727287
France,2020,921122176
China,2000,82559289
China,2021,521780068
Germany,1995,315796091
China,2005,1511887240
India,2001,1501116332
Japan,2013,1227519934
Australia,2024,848351247
UK,2023,574153396
Canada,2002,176666580
UK,1994,1345997122
Australia,2013,210425147
India,2016,1095159837
India,2021,340900596
UK,2009,556124308
USA,1991,1207947393
China,2006,277303691
China,2005,793003082
Australia,2024,1097736548
Australia,2022,153991755
China,2010,1414982542
France,1994,1316470182
Japan,2015,232472178
UK,1990,1486471260
Brazil,2020,1415356411
Australia,1997,785637704
China,1998,323528076
France,2020,365582900
Brazil,2006,1282154732
China,2003,239635558
China,2014,1119264895
UK,2002,1239342995
Australia,2022,407532936
Japan,2007,259738307
France,2015,246841522
Brazil,2005,203022975
Brazil,2010,522396222
Canada,2021,829208516
UK,2013,525394495
China,2021,1449083853
India,2015,867203534
India,2016,1423000573
Canada,2002,630381446
USA,2016,369127398
China,2000,355964792
UK,2021,1347745741
Brazil,1992,407706303
Brazil,2005,893143261
Canada,2018,1201456487
UK,2019,892003877
Japan,2008,1415520833
India,2003,1084108173
Australia,1992,309557196
USA,2006,525979881
France,2005,1413592047
UK,1991,1080061013
France,2022,1054283948
India,2019,1223888134
Germany,2020,126714762
USA,2024,1290157147
Japan,2008,243508320
Australia,2017,193531077
Canada,2007,321992335
UK,2002,868576205
Japan,2003,103855267
USA,1994,952880199
Japan,2024,562741219
Brazil,2005,1014966683
Japan,2020,1246077864
UK,2008,260016412
China,2000,470376277
Japan,1994,1192499495
China,1997,641142898
France,1998,1003458963
Japan,1990,340363434
France,2018,1154501842
USA,2009,848643744
Brazil,2007,1209448093
USA,2006,1371828224
France,2021,1164669050
Germany,2021,339887777
Brazil,2015,987366080
France,1995,370243998
France,1994,224712372
Australia,2012,119008008
Canada,2003,1224138581
Australia,1996,654336095
China,1996,1082569064
Brazil,2023,1452352300
Australia,1998,1447233915
Germany,2019,164224315
China,2004,1168126607
Japan,1996,336746195
Germany,1997,1364241783
Brazil,1991,1110564154
USA,1990,246336054
Germany,2011,1003310321
India,2012,1066971391
Australia,2024,881382022
Australia,2022,1201846241
Brazil,1991,1011815860
India,2008,1125130120
China,2004,1152614409
Japan,2018,749265835
Germany,1999,1201913706
Brazil,2009,1358854389
Brazil,1990,234484309
Canada,1995,394353636
UK,1999,389541986
Brazil,2020,129498030
UK,2010,1245825153
Australia,2024,901087133
China,2008,599388881
UK,1992,475613811
India,1997,242234239
France,2013,981209110
UK,2002,65607434
Japan,2014,1303847288
France,1991,877757217
Germany,1994,642007220
India,2017,1488549245
Australia,2004,1105961590
China,2024,207870475
USA,2011,1501845270
Canada,2010,585573175
Canada,2004,1461749639
France,2021,563228549
UK,2005,367619481
China,2018,612024716
Japan,2018,776262107
Japan,1995,1499262300
Germany,1995,71614845
France,2015,755597407
China,2007,958340046
USA,1996,733349146
Australia,1998,1493639590
Germany,2017,390586343
China,2010,154136494
China,2005,914161537
Canada,2002,563626131
France,2005,825095322
Australia,2011,410206053
UK,2012,564035044
UK,2012,56440018
Canada,1994,264682338
France,1991,1311386154
USA,2016,421698781
India,2010,914513314
Germany,2024,1034124506
Germany,1990,140469508
Japan,2021,1059863722
USA,2013,639596926
China,1998,937440416
Canada,2002,1499898386
Canada,1992,141671329
UK,2020,145944162
Japan,2023,455760205
Brazil,2022,780656856
China,2011,1421123247
Japan,1994,389332845
Canada,1996,519025764
USA,2008,1498170917
Germany,2015,777493627
China,2004,650590975
Germany,2017,383377161
Canada,2007,1035916804
China,2014,1073412223
Australia,2004,280467192
France,2008,1228088958
Australia,1995,640744630
Japan,2019,1058963938
UK,2017,1444098507
Brazil,2004,1013951070
India,1998,969017078
Germany,2019,1071476672
Brazil,2008,801070830
UK,2017,1314637881
India,2014,1465209837
USA,2008,109253345
Brazil,1990,875871510
India,1996,498778786
UK,1992,340948315
France,2011,28393094
China,2022,1123399302
Japan,1991,978446370
Germany,2009,954841187
France,1993,315407566
Australia,1998,1489522788
India,1997,831562284
China,2003,917427129
Canada,2006,38419298
UK,1997,132441987
Brazil,1992,490053098
Japan,2000,384942061
USA,1991,686205747
India,1992,1397770937
India,1994,228665764
Germany,2024,589261776
Australia,2023,221485439
Brazil,2011,1413652684
Brazil,1995,382461656
Germany,2006,776787850
UK,1994,513204340
Brazil,1995,463686531
UK,2021,475862002
USA,1999,1453270088
Japan,2023,553572608
UK,2004,883040406
Germany,1997,298462294
France,1993,969167536
Germany,1998,1504463305
India,2021,1444324682
Canada,2011,890128227
Australia,1998,1396628176
Australia,1994,1355312001
India,2009,585818185
Germany,2022,1397250303
China,2002,808826953
France,2011,927876393
India,2001,539117768
Japan,2011,1076540950
India,2002,337560649
Canada,2006,143492163
Australia,2019,1003456264
Brazil,2012,510755188
Brazil,2008,1456104772
Germany,1998,1469027280
France,2006,736795086
UK,2012,525820339
India,2008,1068905878
Canada,2007,1281736158
Canada,1993,1091751929
Australia,1998,1094923215
Canada,2010,614363958
China,2004,310838718
China,2008,1102696874
Japan,2008,1400658260
Japan,1990,1505363314
Canada,2010,454155649
Japan,1999,1296736475
Canada,2019,995919500
Japan,1991,1194773132
Brazil,2002,619743546
Australia,2015,289709133
Canada,2009,1101637093
Australia,2005,1404736259
Australia,2000,1495815662
UK,1997,1276279507
Australia,2013,681208492
China,2010,608666406
UK,2000,483808698
UK,2009,1000362664
Brazil,2013,449596808
France,2006,867963262
France,1995,105781258
Germany,1992,673914228
Germany,2019,459981638
Germany,2013,343650489
Canada,2000,1506824209
USA,2016,529555431
Brazil,2000,732768984
Canada,1996,553121854
Canada,2023,1467054654
Canada,2000,85831177
Brazil,2023,471194625
Canada,2002,244948171
Brazil,2014,907594974
Brazil,1994,25246615
France,2004,498712635
Canada,2004,169677148
Germany,2007,1505422388
USA,2021,1052468314
Canada,1999,378570253
Brazil,1999,609933032
Japan,1998,341788883
Germany,2016,154512510
India,2016,1225716672
Canada,2019,572385348
Japan,2024,933649660
India,1990,791995395
Japan,1995,651411611
Japan,2013,375811023
France,2021,805304610
Canada,2001,415669695
Australia,1994,1086199236
UK,1998,1326059780
Australia,1991,893802793
Brazil,2014,537142171
France,2011,1468802384
Brazil,2023,287722479
China,2013,931893889
India,2018,111004215
UK,2002,266536731
Japan,2006,446084135
UK,2010,338453270
Brazil,1997,1175502168
Germany,2014,630370896
Germany,2010,1285060077
Australia,2014,691610411
Germany,2016,691918183
Australia,1992,226892214
Japan,1991,995308712
Canada,2008,28392221
Australia,2009,453757499
UK,1991,302390860
USA,2006,669149723
India,2011,947643418
Australia,1999,1080425977
Canada,2003,459089111
India,2003,1463855578
Germany,2022,723753171
Germany,2006,1267801048
UK,2002,374753477
India,2001,379491568
Canada,1999,118349609
Canada,1997,367345001
USA,1998,903588228
Germany,2015,1388922788
Australia,2023,1448078503
Australia,1990,389423518
Japan,2011,1446479027
China,2009,1195380376
India,1993,1268172286
France,2000,1161275467
Canada,2016,507909844
China,2023,1289357481
Australia,2021,102570576
UK,2021,1055204929
Canada,2019,581813281
UK,2019,937235702
USA,1992,1453428694
UK,2007,579442173
France,1998,755458671
Australia,1992,784433435
China,2002,131695598
China,1995,336946624
Brazil,2019,297087374
Japan,2001,661832625
UK,2019,949105569
China,2015,51996970
India,2014,1167089500
Japan,2023,1016152624
Canada,2005,443408830
USA,1996,768018945
Australia,2021,1466995367
Australia,2019,1181125327
UK,2006,207576191
Germany,2019,1024649649
India,2012,398545762
Brazil,1993,1051069180
France,2006,1454991724
Germany,1994,963633928
Germany,2019,485249069
UK,2014,727900965
Japan,2011,596114898
Canada,1997,928901121
Canada,2006,176209837
Japan,2017,423137085
India,2002,1507521507
Canada,2021,419331795
Japan,1998,545850719
Germany,2005,464583387
India,1997,991477725
Germany,1994,900670589
Japan,2002,1055885356
UK,2005,346449671
Germany,2023,865364533
France,1998,27940102
